Title,Company,Location,Salary,Job Type,Description,Date Posted
Labourer,Rockateer Treats,"Paradise, NL",From $15.50 an hour,Full-time,Load and unload food for processing. Perform physical labor tasks as assigned by the supervisor. Operate freeze dryers and properly package product.  ,"Posted
Today"
"Associate, Sales & Customer Service",Intact,"Hybrid remote in St. John's, NL",Full-time,N/A,"Guide auto and home customers on insurance solutions. Inclusive employee-led networks to educate, inspire, amplify voices, build relationships and provide…   ","Posted
Posted 22 days ago"
Night Auditor,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",From $18.75 an hour,"Full-time
+1","Handles cash, cheques, credit and debit card transactions in accordance with Hotel Policies. Provides superior customer service and handles administrative…   ","Employer
Active 11 days ago"
Administrative Coordinator - TELUS Health,TELUS,"St. John's, NL",Full-time,Monday to Friday,"Offering a full range of occupational health services from pre-employment screenings, to rehabilitative services for the ill or injured worker, to complete on…   ","Posted
Posted 30+ days ago"
Host,Moxies,"St. John's, NL","Full-time
+1",N/A,"Leading our front door to ensure prompt, friendly greeting and seating of each guest. Answering the phone to handle reservations and guest inquiries.   ","Posted
Posted 30+ days ago"
Part Time Sales Associate - (Store#1508 Ropewalk Lane),Pet Valu,"St. John's, NL",Part-time,Weekends as needed,"Preparing merchandise orders, banking and other miscellaneous paperwork. Placing small items (under 10 lbs) including pet supplies, household items, etc. into…","Posted
Posted 30+ days ago"
Virtual Medical Scribe,Aquity Canada ULC,"Remote in St. John's, NL",$16 an hour,Full-time,Pre-employment testing to include typing test required. Please play the Virtual Scribe Full Demonstration video for more details on the position.   ,"Posted
Posted 30+ days ago"
Bartender/Server,The Capital Hotel,"St. John's, NL",$15–$16 an hour,Full-time,Handle cash transactions and operate the cash register. Prepare and serve alcoholic and non-alcoholic beverages to customers.  ,"Employer
Active 25 days ago"
Security Guard - Fulltime,Securitas Canada Ltd.,"St. John's, NL",Full-time,N/A,"Controls access to client site or facility through the admittance process Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards,…   ","Posted
Posted 30+ days ago"
Office Assistant,Cowan's Optical,"Mount Pearl, NL",From $15 an hour,Full-time, ,"Employer
Active 11 days ago"
cashier,Kenny Enterprises Limited,"St. John's, NL",$15 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Process money, cheques and credit/debit card payments. Verify the age of customers when selling lottery tickets,…   ","Posted
Posted 9 days ago"
"Waste Management Coordinator, Eastern Health",Compass Group,"St. John's, NL",Full-time,N/A,Overall objective of this Role is to ensure consistency throughout NL Health Services in the waste management program.   ,"Posted
Posted 9 days ago"
Merchandising Store Associate,Walmart Canada,"St. John's, NL",Full-time,N/A,  ,"Posted
Posted 30+ days ago"
Maintenance Custodian - Permanent hrs/week,Newfoundland & Labrador English School District,"St. John's, NL",$21.20–$23.25 an hour,"Full-time
+1",  ,"Posted
Posted 4 days ago"
"Communications and Engagement Lead, Toqlukuti’k Wind and Hydrogen",ABO Wind Canada,"St. John's, NL",Full-time,N/A, ,"Posted
Posted 25 days ago"
Clerk A,Newfoundland & Labrador Housing Corporation,"Corner Brook, NL",$26.63 an hour,N/A,  ,"Posted
Posted 30+ days ago"
Materials Assistant,Vale Canada,"Long Harbour-Mount Arlington Heights, NL",Full-time,Monday to Friday,  ,"Posted
Posted 17 days ago"
Intervention Specialists / Operators,Schlumberger,"Mount Pearl, NL",Full-time,N/A,  ,"Posted
Posted 1 day ago"
Call Taker/Dispatcher,Mr. Rooter Plumbing / Mr.Electric of St. John's...,"St. John's, NL",$18.50 an hour,Full-time, ,"Employer
Active 4 days ago"
"General Applicant- Gander, NL, Canada",D-J Engineering,"Gander, NL",Full-time,N/A, ,"Posted
Posted 30+ days ago"
Cargo Agent,Air Borealis,"Happy Valley-Goose Bay, NL",Full-time,N/A,  ,"Posted
Posted 1 day ago"
Food Services,NL Health Services,"St. John's, NL",Day shift,N/A, ,"Posted
Posted 30+ days ago"
Settlement Officer,Association for New Canadians,"St. John's, NL",Full-time,Monday to Friday,  ,"Posted
Today"
Purchasing Analyst,Purity Factories Ltd.,"St. John's, NL",Full-time,N/A, ,"Posted
Posted 30+ days ago"
"Test Center Manager - St. John's, NL",Pearson,"St. John's, NL",$20 an hour,Part-time,  ,"Posted
Posted 2 days ago"
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",From $16.75 an hour,"Full-time
+1",  ,"Employer
Active 11 days ago"
Medical Receptionist,People Stuff,"St. John's, NL",$20 an hour,Full-time, ,"Employer
Active 9 days ago"
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",From $16.75 an hour,"Full-time
+1",Provides superior customer service and has the passion to want to make our guests feel at home. This role will contribute to the overall success of the Hotel by…   ,"Employer
Active 11 days ago"
HSE Officers,Master Drilling Group,"Nain, NL","$100,000 a year",Full-time,"Under the supervision of the project manager, The HSE Officer is to provide the necessary resources and support required to enable field personal to meet all…  ","Posted
Posted 30+ days ago"
Equipment Operator - Seasonal,City Of Mount Pearl,"Mount Pearl, NL",$32.60 an hour,Seasonal,Thorough experience in operating a variety of heavy equipment found within a municipal environment supplemented by graduation from high school OR considerable…   ,"Posted
Posted 30+ days ago"
Food Bank Coordinator,MacMorran Community Center,"St. John's, NL",$18.57 an hour,Full-time,Meeting with foodbanks to determine needs and gain an understanding of issues. Ongoing meetings with the coalition partners to report on progress.  ,"Employer
Active 4 days ago"
St. John's Office Support Assistant,McInnes Cooper,"St. John's, NL",Full-time,N/A,"Back-up reception coverage, which includes greeting clients, answering the phone and redirecting calls, managing boardroom bookings and setup; and,.   ","Posted
Posted 29 days ago"
Apprentice,Otis,"St. John's, NL",Full-time,N/A,The elevator trade requires a variety of skill sets for individuals to be successful in the field. Applicants must have attended post-secondary schooling in…   ,"Posted
Posted 30+ days ago"
Food Service Worker II,NL Health Services,"St. John's, NL",$21 an hour,Full-time,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,"Posted
Posted 14 days ago"
Administrative Assistant - Human Resources hours per week,Newfoundland & Labrador English School District,"St. John's, NL",Part-time,N/A,"Reporting to the Senior Management Official – Human Resources, this provincial position involves executive level clerical and administrative support duties.   ","Posted
Posted 1 day ago"
Customer Service Representative -ACT,Circle K,"St. John's, NL",N/A,N/A,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ","Posted
Posted 30+ days ago"
Junior Hydrogeologist (23052),GEMTEC Consulting Engineers and Scientists Limited,"Mount Pearl, NL",Full-time,N/A,"This position involves a significant component of fieldwork, and will be approximately 80% field-based and 20% office-based.   ","Posted
Posted 30+ days ago"
Aircraft De-icer,Inland Group,"St. John's, NL","Full-time
+1","8 hour shift
+3","Valid driver’s license and driving record that meets Company insurance standards; Abide by Inland’s procedural handbooks, operational plans, and directives of…   ","Posted
Posted 3 days ago"
administration officer,Golden Harbor Trading Inc,"St. John's, NL",$25 an hour,"Full-time
+1",Hours: 40 hours per week.  ,"Posted
Posted 18 days ago"
Overnight Crew Member,McDonald's,"St. John's, NL",N/A,N/A,"Greeting guests, taking orders and processing payments. Managing delivery and mobile orders. Assembling orders and packaging take-out and delivery.   ","Posted
Posted 30+ days ago"
Exploration Geophysicist,Canada-Newfoundland and Labrador Offshore...,"St. John's, NL",Full-time,N/A,Applicants should have at least five years' experience in the petroleum industry and must possess a minimum of a Bachelor's degree in Geology or Geophysics.  ,"Posted
Posted 2 days ago"
Sales Associate-Avalon Mall Annex,The Children's Place,"St. John's, NL",Part-time,N/A,Signale rapidement à l'équipe de direction les besoins en matière de maintenance et de matériel pour offrir aux clients et associés un environnement propre et…   ,"Posted
Posted 30+ days ago"
"Health, Safety, and Environment Advisor (Rotational - Labrador)",Locke's Electrical Limited,"Labrador City, NL","$80,000–$100,000 a year",Full-time,"· Bachelor’s degree or college diploma in occupational health and safety, or a related bachelor’s degree with significant professional development in…  ","Employer
Active 4 days ago"
"attendant, funeral home",Carnell's Funeral Home Ltd,"St. John's, NL",$18–$22 an hour,"Part-time
+1","Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Assist clients/guests with special needs.  ","Posted
Posted 11 days ago"
Early Childhood Educator and Assistant,Donna Daycare Centre Inc,"Mount Pearl, NL",$15.00–$35.09 an hour,Full-time,"Support early childhood educators in carrying out programs that promote the physical, cognitive, emotional and social development of children,.  ","Posted
Today"
Cashier/Food Counter Attendant,Menchie's Frozen Yogurt,"Mount Pearl, NL",From $15 an hour,"Full-time
+1",May receive payment for food items purchased. Menchies Frozen Yogurt in St John's and Mt Pearl is looking to hire a permanent full-time or Part time Food…  ,"Employer
Active 8 days ago"
urban snow removal equipment operator - public works,EL J Holding Inc.,"St. John's, NL",$23 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Certificates, licences, memberships, and courses. Class 5/5F/G Licence (cars, small trucks and other 2-axle…  ","Posted
Posted 15 days ago"
Heavy Equipment Operator,City of St. John's,"St. John's, NL",$30.03–$32.81 an hour,"Full-time
+1","The City of St. John’s is committed to recruiting world-class talent and expertise to join our City staff, more than 1200 strong, who provide a vast array of…   ","Posted
Posted 30+ days ago"
"Maintenance Technician, Mechanical",Suncor Energy,"St. John's, NL",Full-time,"Day shift
+1","Suncor's operations include oil sands development, production and upgrading; offshore oil and gas; petroleum refining in Canada and the U.S.; and the company's…  ","Posted
Posted 9 days ago"
kitchen helper,Awesome Enterprises Ltd,"Mount Pearl, NL",$15 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ","Posted
Posted 21 days ago"
Volunteer Coordinator,The Gathering Place,"St. John's, NL",Full-time,N/A,"As a non-profit, community health centre, The Gathering Place provides integrated health and social services to individuals who are homeless or precariously…   ","Posted
Posted 29 days ago"
Roustabout,Puglisevich Canada,"St. John's, NL",N/A,N/A,"We encourage applications from Indigenous peoples, visible minorities, women, and persons with disabilities having the capability, qualifications, and…   ","Posted
Posted 20 days ago"
Warehouse Associate,Newterm Logistics,"St. John's, NL",$18.00–$19.50 an hour,Full-time,You will be required to provide a certificate of conduct and a copy of all current training certificates. Handle and sort incoming merchandise.   ,"Posted
Posted 2 days ago"
EMT Trainee,Nasittuq Corporation,"Goose Bay, NL",Permanent,Rotating shift,Two-year electronic technician program from a recognized and accredited institution or Canadian military equivalent. WE ENCOURAGE APPLICANTS TO SELF-IDENTIFY.   ,"Posted
Posted 30+ days ago"
Retail Sales Associate,Gap,"St. John's, NL",Part-time,N/A,Acknowledge and assist customers; locate merchandise efficiently using various methods; answer questions quickly and accurately. Virtual health care 24/7*.   ,"Posted
Posted 23 days ago"
Day Staff Crew Member,McDonald's,"St. John's, NL",Part-time,N/A,"Did you know that from coast to coast, we serve delicious choices to more than 2.5 million people in over 1,400 locations every day, or that we have proudly…   ","Posted
Posted 30+ days ago"
Medical Office Assistant / Ophthalmic Assistant,Avalon Medical Specialists PMC Inc.,"St. John's, NL","From $37,440 a year","Full-time
+1",Now hiring for a full-time medical office assistant/technician for an ophthalmology clinic in St. John’s. Priority will be given to candidates with relevant…  ,"Employer
Active 4 days ago"
Stores Clerk,PAL Technical Services,"St. John's, NL",Full-time,N/A,Provide inventory control of aircraft parts. Entering parts data into company's maintenance tracking system. Control quarantine stores as per company's MCM.   ,"Posted
Posted 26 days ago"
Records and Information Management Officer,City Of Mount Pearl,"Mount Pearl, NL","$61,356–$79,766 a year",Full-time,"The ideal candidate for this position has progressive experience in information management with proven experience in planning, organizing and monitoring project…   ","Posted
Posted 7 days ago"
fruit and vegetable machine operator,Pride Pak Canada,"Paradise, NL",$20.85 an hour,Full-time,Fruit and vegetable processing plant. Set up and adjust processing and packaging machines. Inform supervisor of mechanical malfunctions or product…   ,"Posted
Posted 2 days ago"
Shop Helper,Capital Subaru,"St. John's, NL",From $16 an hour,"Full-time
+1","Ensures safety policies, standards, and procedures are followed to achieve a safe work environment and safety for all staff, customers, and vendors.  ","Employer
Active 4 days ago"
Legal Assistant (Permanent) - St. John's Primary Conflict Office,Newfoundland and Labrador Legal Aid Commission,"St. John's, NL",Full-time,N/A,Legal Aid NL is an innovative legal aid plan that responds to the needs of low income persons by promoting access to justice through the provision of quality…   ,"Posted
Posted 9 days ago"
delivery driver,Pik-Fast Express Inc.,"Mount Pearl, NL","Full-time
+1",N/A,"Education: No degree, certificate or diploma. Pay and receive payments for goods. Use maps and other trip planning aids. Up to 9 kg (20 lbs).  ","Posted
Posted 9 days ago"
driver helper,Around The Bay Disposal Inc.,"Carbonear, NL",$16–$17 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Driver's validity licence check. Assist trucks and delivery drivers to load and unload vehicles.   ","Posted
Posted 1 day ago"
food counter attendant,FB Burrito Partnership,"St. John's, NL",$15.50 an hour,"Full-time
+1","Serve customers at counters or buffet tables. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.  ","Posted
Posted 21 days ago"
Canada Job Posts,Borea Construction,Canada,N/A,N/A,Valid Class 5 driver’s license. Nous cherchons les personnes les plus brillantes et les meilleures qui partagent notre passion pour la construction de parc d…,"Posted
Posted 30+ days ago"
bartender,Spirit of Newfoundland Productions LTD,"St. John's, NL",$15.00–$15.25 an hour,"Full-time
+1","Collect cash, credit/debit cards or other payment for beverages. Enforce provincial/territorial liquor legislation and regulations. Organize and set up bar.  ","Posted
Posted 6 days ago"
Dental Reception/Assistant,"NL Periodontics and Dental Implants, Dr. Tony...","St. John's, NL",$20–$24 an hour,Full-time,"Full time Dental Receptionist We are seeking a dedicated, mature, compassionate individual that has a passion for helping others and a drive for providing…  ","Employer
Active 4 days ago"
Early Morning Stocker,PetSmart,"St. John's, NL","Weekends as needed
+1",N/A,This position requires working during non-operating store hours which may include weekends and holidays. Providing exceptional customer service and assisting…   ,"Posted
Posted 30+ days ago"
Derrickhand,Parker Wellbore,"St. John's, NL",Full-time,12 hour shift,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ","Posted
Posted 10 days ago"
Domestic/Laundry,NL Health Services,"St. John's, NL",N/A,N/A,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,"Posted
Posted 30+ days ago"
Server,Best Western Plus St. Johns Airport Hotel & Suites,"St. John's, NL",From $14.50 an hour,"Full-time
+1","Processes guests’ orders and ensures all items are prepared properly, in a timely manner and to ensure guest satisfaction with the food and service.   ","Employer
Active 4 days ago"
Derrickhand,Parker Wellbore,"St. John's, NL",Full-time,12 hour shift,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ","Posted
Posted 10 days ago"
Domestic/Laundry,NL Health Services,"St. John's, NL",N/A,N/A,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,"Posted
Posted 30+ days ago"
Economic Development Officer,Town of Deer Lake,"Deer Lake, NL",Full-time,N/A,"The Economic Development Officer (EDO) is responsible for research and development, economic/community development and communications.  ","Posted
Posted 24 days ago"
Driller Assistant,Master Drilling Group,"Nain, NL",$24–$26 an hour,Full-time,Read and interpret engineering plans to assist in the setup of the raise drill and assemble components. Prepares and completes all necessary paperwork required…  ,"Posted
Posted 30+ days ago"
