Title,Company,Location,Salary,Job Type,Description,Date Posted
Atlantic Oral Surgery - Dental Receptionist,People Stuff,"St. John's, NL",N/A,Full-time,"Assist with administrative tasks, such as filing, ordering supplies, and data entry. Answer phone calls and emails, addressing patient inquiries and scheduling…  ",6
Sales Associate - Part-Time - Tommy Hilfiger,PVH,"St. John's, NL",N/A,Part-time,"Maintains strong knowledge regarding product, promotions, and special events in order to communicate to customers for more effective selling.   ",30
Motorman,Puglisevich Canada,"St. John's, NL",N/A,,Complying with proper maintenance procedures in accordance with valid maintenance program. Observe to uncover any non-compliance and immediately report these to…   ,20
Service Advisor - Freshwater Auto,People Stuff,"St. John's, NL",N/A,Full-time,Prepare repair orders by detailing the vehicle’s problems and symptoms by confirming issues with guests prior to sending vehicle to tower.  ,14
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Store Associate,Sherwin-Williams,"St. John's, NL",N/A,,"Store associates work closely with wholesale and retail customers to determine their needs, answer their questions about Sherwin-Williams products, and…   ",30
Plant Operator,Dyno Nobel,"Corner Brook, NL",N/A,,"As the Plant Operator, you will be responsible for the safe manufacturing of our world class bulk emulsion product out of our Corner Brook site and will be…   ",30
janitor,Lucky Janitorial Maintenance Ine,"Corner Brook, NL",16.0,"Full-time
+1",Experience: 7 months to less than 1 year. Hours: 31 to 40 hours per week.  ,13
OVERNIGHT Grocery Clerk PT,Dominion,"St. John's, NL",N/A,Part-time,They help provide a positive in-store shopping experience by ensuring the store is always ready with available products that meet customer needs to live life…   ,4
Sales Associate Sunglass Hut,Sunglass Hut,"St. John's, NL",N/A,Part-time,"In addition, you may also be offered a competitive bonus and/or commission plan, which complements a first-class total rewards package Benefits/Incentive…   ",11
Utility Worker I,NL Health Services,"Labrador City, NL",20.05,Full-time,""" Dry and wet mop floors; vacuum carpets; clean walls, furniture, fixed and selected non-fixed equipment as per daily, weekly and monthly schedules and as…  ",28
Electrical Maintenance Planner,Vale,"Labrador City, NL",N/A,Permanent,The Electrical Maintenance Planner will also aid the maintenance team to stay focused and on track with the scheduled short- and long-term plans.   ,4
Sales Representative (Salary & Commission!),Fairway Honda,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drive, and deliveries and ensure the…   ",7
CLIENT LIFE COORDINATOR & COMMUNITY SUPPORT WORKER,Teen Challenge Canada,"St. John's, NL",N/A,Full-time,Required to answer internal phone calls and email messages pertaining to students and the program. The incumbent works with the clients in all areas of personal…   ,30
Tugboat Captain,Sentry Marine Towing,"St. John's, NL",700.0,Full-time,Lead a team in a safe and efficient manner. Ensure the safety of the crew on board. Manage the logistics of the ship's voyage. Must be a Canadian citizen.  ,8
CDS Part Time Product Demonstrator in Costco,Advantage Solutions,"St. John's, NL",N/A,Part-time,"The Company will provide reasonable accommodations, accessible formats and communication supports upon request to persons with disabilities who take part in all…   ",30
convenience store clerk,Tobin's Convenience,"Labrador City, NL",15.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Assist in display of merchandise.   ",30
storekeeper,Honour Adventures Inc.,"Gander, NL",15.0,"Full-time
+1","Answer telephone and relay telephone calls and messages. Receive, unpack and sort incoming parts, supplies and materials. Prepare and track work orders.  ",2
Protection & Control Supervisor,Newfoundland and Labrador Hydro,"Hybrid remote in Whitbourne, NL",N/A,Full-time,You have a thorough knowledge of all regulations and safety rules and must possess and maintain an appropriate valid driver's license.   ,23
Tax Consultant,BCJ TAX CENTRE,"Stephenville, NL",16.0,Seasonal,"Stephenville, NL A2N 1E2: reliably commute or plan to relocate before starting work (required).   ",4
Part-Time Merchandiser,Coca-Cola Canada Bottling Limited,"St. John's, NL",16.0,Part-time,A valid driver’s license with a clean driving record with no major violations over the last three (3) years. Maintain professional relationships with co-workers…   ,1
Pharmacy Assistant Clerk,Dominion,"Mount Pearl, NL",N/A,Part-time,They help provide a positive in-store shopping experience by ensuring the store is always ready with available products that meet customer needs to live life…   ,15
tire repairer - automotive service,Ball Holdings Inc,"St. John's, NL",20.0,"Full-time
+1",Driver's validity licence check. Experience: 2 years to less than 3 years. Up to 45 kg (100 lbs). Hours: 40 hours per week.  ,9
line cook,Magic Foods Ltd - A&W,"St. John's, NL",15.0,"Full-time
+1",Hours: 30 to 40 hours per week.  ,30
Dishwasher/Food Prep,Quality Hotel & Suites,"Gander, NL",N/A,Part-time,Prepare food items according to customer orders. The successful candidate will be responsible for preparing food items according to established recipes and…   ,3
Overnight Grocery Clerk,Dominion,"St. John's, NL",N/A,Part-time,They help provide a positive in-store shopping experience by ensuring the store is always ready with available products that meet customer needs to live life…   ,20
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Retail Sales Associate,Meghan Ashley Designs Inc.,"Grand Falls-Windsor, NL",15.0,Part-time,"Experience with social media is an asset. Participate in social media responsibilities such as taking photos in clothing, making reels, tic toks, etc.  ",5
Information Technology (IT) Manager,Avalon Holographics,"St. John's, NL",N/A,Full-time,"As such, as an IT Manager, you will be regularly introduced to new scenarios and face frequent challenges that require a level of expertise that will enable you…  ",29
restaurant manager,EgyCana Fast Food Enterprise Inc.,"St. John's, NL",18.0,Full-time,"Balance cash and complete balance sheets, cash reports and related forms. Participate in marketing plans and implementation. Recruit, train and supervise staff.  ",5
Quality Assurance Manager,Quin-Sea Fisheries Ltd,"Conche, NL",N/A,Full-time,"Participate in various audits with regulatory authorities, certification bodies, customers, etc. Conduct training necessary to implement and maintain the food…   ",10
"Retail Credit Card Sales Representative - Mount Pearl, NFL",kite,"Mount Pearl, NL",40.0,,"Working independently at retail locations, maximizing credit card sales while enhancing customers' in-store experience. Must be at least 19 years of age.   ",1
Project Coordinator,North Star Associates Inc.,"Wabush, NL",N/A,,"A negative pre-employment drug & alcohol test, along with an acceptable driving record are important parts of our safety program and are requirements for…   ",30
Temporary Assistant Transportation Coordinator,Oceanex,"St. John's, NL",N/A,,"He / she will also be responsible for completing various reports and monitoring the detention and demurrage reports, contact customers for return of equipment…   ",30
Financial Analyst,NL Health Services,"Labrador City, NL",75.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",4
Server and Cashier,Rod's Restaurant,"Clarenville, NL",N/A,Full-time,"Taking orders tending in tables prep work. Clarenville, NL: reliably commute or plan to relocate before starting work (required).  ",30
cashier,DASH FOODS INCORPORATED,"St. Anthony, NL",15.0,"Full-time
+1","Process money, cheques and credit/debit card payments. Education: Secondary (high) school graduation certificate. Accept reservations or take-out orders.   ",3
Domestic Worker (Utility),NL Health Services,"Clarenville, NL",19.0,,A valid class 04 driver's license is required to willing to obtain within six (6) months.. NL Health Services is responsible for delivering health and community…  ,24
Graphic Artist,trophi.ai,"St. John's, NL",N/A,Full-time,Deliver optimized UI assets and layouts to the development team and ensure they are integrated at a high quality. Collaborate. We’re big on collaboration.  ,30
Cashier,Jim’s Value Grocer,"Grand Falls-Windsor, NL",15.0,Full-time,"We are taking extra cleaning precautions and have a protective plexiglass barrier between cashiers and customers. 35 hours per week, evening and weekend shifts.  ",18
Wood Truck Driver - Application Pool,Kruger Inc.,"Corner Brook, NL",31.25,"Day shift
+1","A proven safety track record and clean drivers abstract. At Kruger, we believe in giving our employees the space to grow, within a dynamic and stimulating…   ",30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,We protect our customers and staff by hiring and training associates committed to our safety values. We are committed to the principle of equal opportunity in…,4
anatomical pathologist,Eastern Regional Health Authority,"Mount Pearl, NL",232.0,"Full-time
+1","Study the nature, cause and development of diseases and the structural and functional changes caused by diseases. Hours: 75 hours bi-weekly.   ",30
family worker - home care,Elizabeth Noseworthy,"Grand Falls-Windsor, NL",16.0,"Part-time
+1","Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Experience with special needs children.  ",17
Merchandise Processing Associate,Value Village,"St. John's, NL",1.0,Full-time,"With our aggressive store expansion plans, we recognize the importance of the continued growth and development of our team members.   ",17
Bookkeeper,Roger Coombs & Associates Professional Corporation,"Paradise, NL",20.0,Full-time,"Calculate and prepare cheques for payroll, Reconcile accounts, Post journal entries, Maintain general ledgers and financial statements, Keep financial records…  ",3
Chalet Attendant,Whaleback Nordic Ski Club,"Stephenville, NL",15.0,"Part-time
+1",Balance cash and keep records of financial transactions made at the chalet. Proficiency in using POS systems for order processing and payment handling.  ,5
Planner – Electrical (Permanent),Newfoundland and Labrador Hydro,"Hybrid remote in Churchill Falls, NL",N/A,Permanent,  ,18
Assistant Controller (Maternity Replacement - 18 Months),O’Neill Automotive Group,"Mount Pearl, NL",N/A,Full-time,  ,24
garbage truck driver,Provincial Ready Mix Inc.,"Placentia, NL",24.0,"Full-time
+1",  ,17
Saltwater Aquaculture Worker,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,  ,30
building superintendent,Stella's Circle,"St. John's, NL",21.49,"Full-time
+1",  ,10
kitchen helper,Golden Phoenix Buffet,"St. John's, NL",15.0,"Full-time
+1", ,30
Holyrood Orangestore- Assistant Manager,People Stuff,"Holyrood, NL",N/A,Full-time, ,3
Distribution Services Supervisor,Newfoundland and Labrador Hydro,"Hybrid remote in Happy Valley-Goose Bay, NL",N/A,Full-time,  ,30
Hydrovac Operator,ERIC TAYLOR LTD,"Conception Bay South, NL",1.0,Full-time, ,30
Ecommerce Store Associate,Walmart Canada,"Labrador City, NL",N/A,Full-time,  ,30
restaurant manager,EgyCana Fast Food Enterprise Inc.,"St. John's, NL",18.0,Full-time, ,5
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,,4
Project Manager,Maderra Engineering,"St. John's, NL",N/A,Full-time, ,3
Settlement Officer,Association for New Canadians,"Corner Brook, NL",1.0,Full-time,  ,30
Barista,Marble Mountain Resort,"Steady Brook, NL",15.26,"Part-time
+1", ,5
cook,The Merchant Tavern,"St. John's, NL",16.0,"Full-time
+1",  ,30
town clerk,Town of Rocky Harbour,"Rocky Harbour, NL",65.0,"Full-time
+1", ,9
Membership Sales Associate,Orangetheory Fitness 10072,"St. John's, NL",N/A,Part-time, ,9
Processing Maintenance Manager,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,  ,30
Service Supervisor,TCAT Div of Toromont Industries Ltd,"St. John's, NL",N/A,Full-time,  ,30
Chalet Manager,Whaleback Nordic Ski Club,"Stephenville, NL",15.0,"Full-time
+1", ,6
SAP Clerk PT,Dominion,"Mount Pearl, NL",N/A,Part-time,  ,15
Center of Health Excellence - Medical Physicians,People Stuff,"St. John's, NL",1.0,Full-time, ,30
Regional Business Development- New Foundland,Kal Tire,"Paradise, NL",1.0,Full-time,  ,17
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,,4
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",20.0,"Casual
+1", ,4
Temporary Assistant Transportation Coordinator,Oceanex,"St. John's, NL",N/A,,  ,30
fish grader,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL",20.2,"Full-time
+1", ,30
Part Time Keyholder - (Store#1511 Churchill Square),Pet Valu,"St. John's, NL",N/A,Part-time,  ,24
sales associate,Urban Shoe Company Ltd,"Gander, NL",16.0,"Full-time
+1", ,28
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,, ,30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1",  ,4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time, ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,  ,4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1", ,15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1", ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time, ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,  ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,,
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,We protect our customers and staff by hiring and training associates committed to our safety values. We are committed to the principle of equal opportunity in…,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Pharmacy Assistant,Walmart Canada,"St. John's, NL",15.3,Full-time,"Clerical Organization, filing prescriptions, invoices, reports, correspondence and memos and completing any administrative support functions assigned (i.e.…   ",19
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",20.0,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",20.0,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",20.0,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
